penguin	penguen
admire	hayran olmak
bee	ari
equivalent	esdeger
bus	otobus
cheer	nese
yawn	esnemek
china	cin
education	egitim
circumstance	durum
selection	secme
drum	davul
emergency	kriz
greenhouse	sera
philosopher	filozof
eternity	sonsuzluk
elementary	baslangic
pill	hap
dog	kopek
government	hukumet
flag	bayrak
focus	odaklanmak
game	oyun
exam	sinav
espionage	casusluk
jazz	caz
human	insan
ignore	gormezden gelmek
immunity	bagisiklik
ocean	okyanus
joke	saka
knight	sovalye
ethanol	etanol
lie	yalan soylemek
parrot	papagan
zoo	hayvanat bahcesi
lost	kayip
memory	ani
song	sarki
escape	kacmak
alarm	alarm
binary	ikili
feather	tuy
neuron	noron
up	yukari
obstacle	engel
abbreviate	kisaltmak
pharmacy	eczane
help	yardim
event	olay
page	sayfa
payment	odeme
noise	gurultu
ethics	etik
pearl	inci
month	ay
pencil	kalem
phone	telefon etmek
pick	secmek
place	yer
except	haric
waste	israf etmek
victory	galibiyet
tone	ton
easiness	kolaylik
pocket	cep
antigen	antijen
proof	kanitlamak
queue	sira
remark	belirtmek
sad	huzunlu
taste	tatmak
perfect	mukemmel
umbrella	semsiye
live	yasamak
venue	mekan
rope	ip
prestige	prestij
weight	agirlik
